N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Max_cut_value,Edges
12,16,0.8451518208666275,0.47368421052631576,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,32,0.8504703485112746,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,47,0.8530151563567037,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,38,0.857081533890284,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 11), (8, 11), (9, 10), (10, 11)]"
12,66,0.863833003110015,0.3157894736842105,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 5), (3, 6), (3, 7), (4, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 10), (8, 11), (9, 11), (10, 11)]"
12,9,0.868141355138099,0.3684210526315789,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 8), (7, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,82,0.8700173435763618,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 9), (5, 7), (5, 10), (6, 10), (6, 11), (7, 11), (8, 9), (8, 10), (9, 11)]"
12,51,0.8826519962453165,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 9), (7, 8), (7, 10), (8, 11), (9, 11), (10, 11)]"
12,71,0.9012265045406433,0.3684210526315789,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 10), (8, 11), (9, 11), (10, 11)]"
12,50,0.9257276798572107,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 7), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,74,0.935000413779731,0.3684210526315789,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 9), (6, 10), (7, 8), (7, 10), (8, 11), (9, 11), (10, 11)]"
12,60,0.941554503652192,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 8), (4, 9), (5, 10), (5, 11), (6, 7), (6, 8), (7, 10), (8, 11), (9, 10), (9, 11)]"
12,83,0.9551288171403645,0.3684210526315789,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 9), (5, 10), (5, 11), (6, 10), (6, 11), (7, 9), (7, 10), (8, 9), (8, 11)]"
12,4,0.9683167662757484,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4), (4, 5), (5, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,33,1.0019269036828327,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
