Graph_ID,Trial,Original_Delta_min,Weighted_Delta_min,Gap_Change_Percent,Optimal_Weighted_Cut,N,p1_approx_ratio,p1_expected_cut,p1_iterations,p2_approx_ratio,p2_expected_cut,p2_iterations,p3_approx_ratio,p3_expected_cut,p3_iterations,p4_approx_ratio,p4_expected_cut,p4_iterations,p5_approx_ratio,p5_expected_cut,p5_iterations,p6_approx_ratio,p6_expected_cut,p6_iterations,p7_approx_ratio,p7_expected_cut,p7_iterations,p8_approx_ratio,p8_expected_cut,p8_iterations,p9_approx_ratio,p9_expected_cut,p9_iterations,p10_approx_ratio,p10_expected_cut,p10_iterations,Weights
6,1,0.3746627450759376,0.1814015962337389,-51.58269707414544,18.863072385039214,12,0.6147643941834594,11.596345267227374,29,0.6086080539151927,11.480217775120128,44,0.6501993180065179,12.264756800260077,58,0.6522501565127058,12.303441915452325,87,0.6127880679688588,11.559065682784912,97,0.6378480685728306,12.03177428814676,99,0.6166359043763814,11.6316476994658,123,0.5897307640785626,11.12413409049841,121,0.6070537803446385,11.450899400252611,156,0.614234118528555,11.58634263916489,166,"[0.7480260669954911, 0.3155996903571192, 1.8569178747292692, 1.7669447714238637, 0.5900890926587956, 1.35396968746494, 1.65272218038231, 1.1548815420389784, 1.1063360988764124, 0.5595193527108582, 0.2768952588312085, 1.8047099401113207, 1.8107943086103278, 1.3028927688192091, 0.7441566029925313, 0.7634981917640556, 1.4793157898534548, 1.8045094939098965]"
6,2,0.3746627450759376,0.4533632485967196,21.00569233400315,15.814992897504668,12,0.5732589764649015,9.066086641223214,30,0.6290860501127548,9.948991414452482,41,0.6293878506015751,9.953764387039639,57,0.6487374033926376,10.259777427000184,70,0.6158596443508663,9.7398159012687,101,0.6136239288698568,9.704458076815696,112,0.6161570876369236,9.744519964725107,134,0.628271808364673,9.936114186989718,139,0.6014063181008198,9.511236649278898,136,0.5881924388903569,9.302259243416943,148,"[1.7854642061037227, 1.5817635371294854, 1.3198601276931468, 0.2598659334905928, 0.40709455677976614, 1.8072529582014505, 1.2522152133532207, 0.11747439807159633, 0.292795931445461, 1.360653361305306, 0.10961700930781551, 0.4055352976932474, 1.1425941997965137, 1.414600875616117, 1.338726393054941, 0.5261116879750636, 1.453140520560318, 0.5507732662439201]"
6,3,0.3746627450759376,0.0873149944208879,-76.69504225641897,18.272558430352714,12,0.6370237689728067,11.640054040079118,34,0.6750623130292588,12.335115558956185,47,0.6527767174956317,11.927900712412777,61,0.6158162850708385,11.25253905131964,75,0.6224003137831997,11.37284610067338,87,0.6474727282727762,11.830983259424189,94,0.6316389859146455,11.541660277014095,97,0.6311181057603548,11.532142463959605,127,0.6374369793935091,11.647604451635432,133,0.6255904718959997,11.43113845119158,161,"[0.7182594265026087, 1.5183336697242458, 1.3343025081897077, 1.713524479938938, 1.3494644953706523, 1.179786346337396, 0.2779820588733757, 0.7986600258129236, 0.6038844985952784, 0.5635803224202588, 1.9487200540296465, 0.8468856768668448, 1.7948884548365152, 1.2991633893947994, 1.610141476729132, 1.055010476899865, 1.1961173807900822, 1.0357836182558413]"
6,4,0.3746627450759376,0.2038778589634997,-45.58363177471054,19.344688740493574,12,0.636294717895062,12.308923264900141,31,0.5809098750041102,11.23752071823354,40,0.6243588314119295,12.078027256042077,61,0.6218992137960418,12.030446718842096,94,0.608266887806196,11.766733615759588,90,0.5999708407839265,11.606249168337285,108,0.6615169251365189,12.796839013334349,101,0.5719309500386643,11.063826209552744,121,0.5746037700583716,11.115531080893339,186,0.5830625272799677,11.279163106476517,158,"[0.47096167681628454, 1.47265901899686, 0.633467488637626, 0.1462003362197623, 1.3263973622236187, 0.436510290873393, 1.886871310270537, 1.9124642963049159, 1.838242341418852, 0.8033015304853444, 0.12936757140484811, 1.8638052689166782, 0.9135498818028972, 1.9366441561829721, 1.9308779564695804, 1.720717965387984, 0.6594528949322128, 0.831685684343658]"
6,5,0.3746627450759376,0.0386266908160557,-89.69027710288441,18.31399949898392,12,0.6601569900438653,12.090114784914084,37,0.6362688333914021,11.65262709594922,57,0.621805038028692,11.387737154923144,65,0.671458030340144,12.297082031238128,77,0.6431623510276672,11.778874974486017,125,0.644083445982796,11.795743907032763,106,0.6871036383239232,12.583615688014358,190,0.6228217508455027,11.406357232940826,116,0.6395252559922854,11.712265217830279,155,0.630106478143224,11.539769725021527,154,"[1.717159675882028, 0.7021518097969275, 0.4220362187035757, 1.1579223986708653, 1.8786940709054838, 1.4224566136824486, 1.1831162231697934, 0.28463533816446024, 1.2685137307284224, 1.9811023151981002, 0.36615962894939563, 1.0848263394910997, 1.7670088366631154, 1.5074603737329884, 1.424329907891009, 1.4347197595755075, 0.7830331873175348, 0.6578245041025373]"
6,6,0.3746627450759376,0.3492804040762678,-6.774717084434226,18.948512953020135,12,0.6803212189678357,12.891075429826483,40,0.7094842467473604,13.443671439456093,46,0.6337197982934484,12.008047806548714,53,0.6429706843913344,12.183338341601422,92,0.6880336880578822,13.037215250278996,85,0.6851315548316455,12.982224141250258,114,0.6641327142741913,12.584327338948935,121,0.6348461142420606,12.029389818890186,110,0.650602789141775,12.327955377323953,123,0.6320915607451566,11.977195126274314,143,"[1.637786195409176, 1.6392154498904434, 1.747437405302197, 1.8351570498572953, 1.0715505578357818, 1.0528809599056792, 1.6167608400368727, 1.3349314684777538, 1.4337370667896363, 1.612006071928592, 1.7910101494533759, 0.742190798017918, 0.8136076100158935, 0.2785656856976511, 1.1987322678927306, 0.16829032021380996, 0.9846362344516743, 1.1310248059443955]"
6,7,0.3746627450759376,0.4166942577897075,11.218492702083529,14.725300150944848,12,0.7039596738253479,10.36601749123948,31,0.6662144885096555,9.810208308212875,44,0.6212279461094609,9.147767968616803,58,0.7425318877625849,10.934004918951755,91,0.6490875373332106,9.558008811469145,101,0.6295246345006484,9.2699391954359,106,0.7064712796889713,10.40300164144221,160,0.6371928393876621,9.382855814016118,119,0.6513391019572092,9.591163776366775,173,0.6401371105343097,9.426211090376269,243,"[0.6444283790437404, 1.2225831950811203, 0.15795047488419392, 0.1709615586235074, 1.6629410652533505, 0.7843622186813994, 0.34141497403858106, 1.0922621941041282, 1.5629877508873606, 0.510059952244002, 1.2834919040561004, 0.26216018348815917, 0.19819527022035463, 1.1095737999794812, 1.1272067310592024, 1.3111168128465924, 1.479573534073057, 1.9541189509788157]"
6,8,0.3746627450759376,0.13236400815099,-64.67115829086178,14.999279619247021,12,0.6219867682916417,9.32935345707814,37,0.7017968200295729,10.526446739521942,39,0.6715897213280324,10.073362019611343,65,0.6396628822106315,9.594482432330732,67,0.6698792503330568,10.047706186877093,84,0.6478174078291684,9.716794442245481,110,0.6630713250019331,9.945592211208613,110,0.6671982905441285,10.007493721354999,185,0.6328916149040483,9.492918300622627,161,0.635888984126415,9.53787667971103,156,"[1.080970661772271, 0.7136172985883673, 1.610853770060537, 0.614581277397941, 0.9340456993407086, 0.24906712455030533, 0.14816641248936926, 1.9290319878880575, 1.688362228973191, 1.4223509915780261, 0.8770105943871127, 0.42925920813460694, 0.3972303810750635, 0.5754615065127311, 1.1435306629416289, 1.4577322531301184, 1.3543750157636893, 0.6318744041972914]"
6,9,0.3746627450759376,0.0320187864954064,-91.4539710936787,14.098980336373344,12,0.6269878802148061,8.839889794292958,28,0.6794310689652174,9.579285281261722,52,0.7087125124052074,9.992123776542769,52,0.6835956625073593,9.638001803721368,70,0.6639880437476432,9.361554372385026,78,0.6940129618042283,9.78487510166604,86,0.6805847651352481,9.595551220877134,111,0.6639301052193346,9.360737498213684,176,0.655492088123127,9.24177006109627,149,0.6536976365758993,9.216470124017333,156,"[1.9142440332600688, 1.50200414172196, 1.1532726997716614, 1.2622694178452691, 0.8972401186128008, 0.5706888800521992, 0.776348089437397, 1.5399076098823012, 0.12734762839653616, 0.3205380169631408, 0.18740501984133023, 0.17738472440604325, 1.7253751096209136, 1.436949932822045, 1.000930275265918, 0.2858849052369028, 1.0340701627219815, 0.9995963644830748]"
6,10,0.3746627450759376,0.4519751474883282,20.635198836415068,15.57393014234101,12,0.6301642873642573,9.81413458960905,37,0.6459017453731134,10.059228661256999,49,0.6264291877895275,9.755964409757519,57,0.6545847592562579,10.19445731289807,73,0.6745280247677896,10.505052336784823,80,0.6334869153773286,9.865880966173608,99,0.6683464540737173,10.408780986625398,108,0.6071605132309955,9.45587541824744,137,0.609893552485439,9.498439580672418,145,0.605670445643253,9.432669209728571,152,"[0.4290835528290288, 0.9243181335521488, 0.8571589953550095, 1.2701151862992113, 1.3066779366485233, 0.1860776185668846, 0.8117639677902952, 1.289133839857049, 1.0559588913021667, 1.7273306982578123, 1.3515179000759954, 0.4095754114547164, 0.2340806200608167, 1.3205966285919997, 0.15037149002908146, 1.2129736044195802, 1.8864374587074193, 1.19340093796417]"
