Graph_ID,Original_Delta_min,Trial,Weights,Weighted_Delta_min,s_at_min,Gap_Change_Percent,Num_Evals,Weight_Attempts,Trial_Time_s
6,0.3746627450759376,1,"[np.float64(0.7480260669954911), np.float64(0.3155996903571192), np.float64(1.8569178747292692), np.float64(1.7669447714238637), np.float64(0.5900890926587956), np.float64(1.35396968746494), np.float64(1.65272218038231), np.float64(1.1548815420389784), np.float64(1.1063360988764124), np.float64(0.5595193527108582), np.float64(0.2768952588312085), np.float64(1.8047099401113207), np.float64(1.8107943086103278), np.float64(1.3028927688192091), np.float64(0.7441566029925313), np.float64(0.7634981917640556), np.float64(1.4793157898534548), np.float64(1.8045094939098965)]",0.18140159623373897,0.4863372687253801,-51.582697074145436,10,1,0.16551709175109863
6,0.3746627450759376,2,"[np.float64(1.7854642061037227), np.float64(1.5817635371294854), np.float64(1.3198601276931468), np.float64(0.2598659334905928), np.float64(0.40709455677976614), np.float64(1.8072529582014505), np.float64(1.2522152133532207), np.float64(0.11747439807159633), np.float64(0.292795931445461), np.float64(1.360653361305306), np.float64(0.10961700930781551), np.float64(0.4055352976932474), np.float64(1.1425941997965137), np.float64(1.414600875616117), np.float64(1.338726393054941), np.float64(0.5261116879750636), np.float64(1.453140520560318), np.float64(0.5507732662439201)]",0.4533632485967196,0.43528023309540753,21.005692334003154,8,1,0.10486388206481934
6,0.3746627450759376,3,"[np.float64(0.7182594265026087), np.float64(1.5183336697242458), np.float64(1.3343025081897077), np.float64(1.713524479938938), np.float64(1.3494644953706523), np.float64(1.179786346337396), np.float64(0.2779820588733757), np.float64(0.7986600258129236), np.float64(0.6038844985952784), np.float64(0.5635803224202588), np.float64(1.9487200540296465), np.float64(0.8468856768668448), np.float64(1.7948884548365152), np.float64(1.2991633893947994), np.float64(1.610141476729132), np.float64(1.055010476899865), np.float64(1.1961173807900822), np.float64(1.0357836182558413)]",0.08731499442088797,0.9899352151778751,-76.69504225641897,20,1,0.3416619300842285
6,0.3746627450759376,4,"[np.float64(0.47096167681628454), np.float64(1.47265901899686), np.float64(0.633467488637626), np.float64(0.1462003362197623), np.float64(1.3263973622236187), np.float64(0.436510290873393), np.float64(1.886871310270537), np.float64(1.9124642963049159), np.float64(1.838242341418852), np.float64(0.8033015304853444), np.float64(0.12936757140484811), np.float64(1.8638052689166782), np.float64(0.9135498818028972), np.float64(1.9366441561829721), np.float64(1.9308779564695804), np.float64(1.720717965387984), np.float64(0.6594528949322128), np.float64(0.831685684343658)]",0.20387785896349975,0.7778776589810545,-45.58363177471054,10,1,0.18014192581176758
6,0.3746627450759376,5,"[np.float64(1.717159675882028), np.float64(0.7021518097969275), np.float64(0.4220362187035757), np.float64(1.1579223986708653), np.float64(1.8786940709054838), np.float64(1.4224566136824486), np.float64(1.1831162231697934), np.float64(0.28463533816446024), np.float64(1.2685137307284224), np.float64(1.9811023151981002), np.float64(0.36615962894939563), np.float64(1.0848263394910997), np.float64(1.7670088366631154), np.float64(1.5074603737329884), np.float64(1.424329907891009), np.float64(1.4347197595755075), np.float64(0.7830331873175348), np.float64(0.6578245041025373)]",0.03862669081605574,0.6917652109597158,-89.69027710288441,10,1,0.26177191734313965
6,0.3746627450759376,6,"[np.float64(1.637786195409176), np.float64(1.6392154498904434), np.float64(1.747437405302197), np.float64(1.8351570498572953), np.float64(1.0715505578357818), np.float64(1.0528809599056792), np.float64(1.6167608400368727), np.float64(1.3349314684777538), np.float64(1.4337370667896363), np.float64(1.612006071928592), np.float64(1.7910101494533759), np.float64(0.742190798017918), np.float64(0.8136076100158935), np.float64(0.2785656856976511), np.float64(1.1987322678927306), np.float64(0.16829032021380996), np.float64(0.9846362344516743), np.float64(1.1310248059443955)]",0.3492804040762678,0.4506428844947782,-6.774717084434226,9,1,0.13173675537109375
6,0.3746627450759376,7,"[np.float64(0.6444283790437404), np.float64(1.2225831950811203), np.float64(0.15795047488419392), np.float64(0.1709615586235074), np.float64(1.6629410652533505), np.float64(0.7843622186813994), np.float64(0.34141497403858106), np.float64(1.0922621941041282), np.float64(1.5629877508873606), np.float64(0.510059952244002), np.float64(1.2834919040561004), np.float64(0.26216018348815917), np.float64(0.19819527022035463), np.float64(1.1095737999794812), np.float64(1.1272067310592024), np.float64(1.3111168128465924), np.float64(1.479573534073057), np.float64(1.9541189509788157)]",0.4166942577897075,0.5081536968872328,11.218492702083527,12,1,0.20611786842346191
6,0.3746627450759376,8,"[np.float64(1.080970661772271), np.float64(0.7136172985883673), np.float64(1.610853770060537), np.float64(0.614581277397941), np.float64(0.9340456993407086), np.float64(0.24906712455030533), np.float64(0.14816641248936926), np.float64(1.9290319878880575), np.float64(1.688362228973191), np.float64(1.4223509915780261), np.float64(0.8770105943871127), np.float64(0.42925920813460694), np.float64(0.3972303810750635), np.float64(0.5754615065127311), np.float64(1.1435306629416289), np.float64(1.4577322531301184), np.float64(1.3543750157636893), np.float64(0.6318744041972914)]",0.13236400815099003,0.7214269518971663,-64.67115829086178,11,1,0.23758912086486816
6,0.3746627450759376,9,"[np.float64(1.9142440332600688), np.float64(1.50200414172196), np.float64(1.1532726997716614), np.float64(1.2622694178452691), np.float64(0.8972401186128008), np.float64(0.5706888800521992), np.float64(0.776348089437397), np.float64(1.5399076098823012), np.float64(0.12734762839653616), np.float64(0.3205380169631408), np.float64(0.18740501984133023), np.float64(0.17738472440604325), np.float64(1.7253751096209136), np.float64(1.436949932822045), np.float64(1.000930275265918), np.float64(0.2858849052369028), np.float64(1.0340701627219815), np.float64(0.9995963644830748)]",0.03201878649540646,0.9672464943018241,-91.4539710936787,14,1,0.6255311965942383
6,0.3746627450759376,10,"[np.float64(0.4290835528290288), np.float64(0.9243181335521488), np.float64(0.8571589953550095), np.float64(1.2701151862992113), np.float64(1.3066779366485233), np.float64(0.1860776185668846), np.float64(0.8117639677902952), np.float64(1.289133839857049), np.float64(1.0559588913021667), np.float64(1.7273306982578123), np.float64(1.3515179000759954), np.float64(0.4095754114547164), np.float64(0.2340806200608167), np.float64(1.3205966285919997), np.float64(0.15037149002908146), np.float64(1.2129736044195802), np.float64(1.8864374587074193), np.float64(1.19340093796417)]",0.45197514748832823,0.49143899831725557,20.635198836415068,13,1,0.22993111610412598
